split,patient_id,frame_id,shift_px,target_px,instruction_px,truth_px,quality,dice
test,P000,P000/seq0/000036,22,4,3.835132520856007,4.110228053362448,0.1555168345140572,0.4616724738675958
test,P000,P000/seq0/000036,20,6,4.334386329007515,6.110228053362448,0.19650213608877878,0.4369449378330373
test,P000,P000/seq0/000036,18,8,8.140682439000798,8.110228053362448,0.15345105169779463,0.47026532479414457
test,P000,P000/seq0/000036,16,10,10.19934799163866,10.110228053362448,0.15557000603609122,0.47332185886402756
test,P000,P000/seq0/000036,13,13,15.045672325619591,13.110228053362448,0.15714504776417154,0.4880461665292663
test,P000,P000/seq0/000036,10,16,18.91193448310061,16.110228053362448,0.1573142412637409,0.4922813036020583
test,P000,P000/seq0/000036,6,20,19.91075796461827,20.110228053362448,0.1552756569258956,0.46153846153846156
test,P000,P000/seq0/000036,1,25,25.557364617239102,25.110228053362448,0.15515895488610734,0.4687224669603524
test,P000,P000/seq0/000036,-6,32,34.91193448310061,32.11022805336245,0.15732889931766378,0.4922813036020583
test,P000,P000/seq0/000036,-14,40,40.1406824390008,40.11022805336245,0.15347317609635916,0.47026532479414457
test,P000,P000/seq0/000036,28,-2,-0.01610068397950215,-1.889771946637552,0.15746545146434232,0.4852941176470588
test,P000,P000/seq0/000036,30,-4,-2.163360441765576,-3.889771946637552,0.15714997145230272,0.4870292887029289
test,P000,P000/seq0/000036,32,-6,-5.750172494521905,-5.889771946637552,0.15580258548531956,0.4674657534246575
test,P000,P000/seq0/000036,34,-8,-7.770708946232077,-7.889771946637552,0.15352355927909184,0.4730593607305936
test,P000,P000/seq0/000036,36,-10,-11.670005420306694,-9.889771946637552,0.19856541511056225,0.4367816091954023
test,P000,P000/seq0/000036,39,-13,-12.475263349417759,-12.889771946637552,0.15646653547322148,0.45661331086773377
test,P000,P000/seq0/000036,42,-16,-13.110674355433389,-15.889771946637552,0.15751055456697402,0.49146757679180886
test,P000,P000/seq0/000036,46,-20,-18.23153312388004,-19.889771946637552,0.15768600532030688,0.4842454394693201
test,P000,P000/seq0/000036,51,-25,-25.572208116637626,-24.889771946637552,0.15368384786905975,0.4484304932735426
test,P000,P000/seq0/000036,58,-32,-29.10537344697991,-31.889771946637552,0.15754827545484554,0.4911092294665538
test,P000,P000/seq0/000036,66,-40,-39.436796117578155,-39.88977194663755,0.15452861960200853,0.4753521126760563
test,P000,P000/seq0/000072,18,2,3.165359235411458,2.3853317071587696,0.2870834369424491,0.44712182061579653
test,P000,P000/seq0/000072,16,4,5.113607108228294,4.38533170715877,0.29305948695225004,0.4222222222222222
test,P000,P000/seq0/000072,14,6,7.359020580298392,6.38533170715877,0.30709971698444055,0.4140845070422535
test,P000,P000/seq0/000072,12,8,9.723792551619255,8.38533170715877,0.30558574498639085,0.4158415841584158
test,P000,P000/seq0/000072,10,10,12.18349347186465,10.38533170715877,0.3085800815384941,0.3977272727272727
test,P000,P000/seq0/000072,7,13,15.05085458297576,13.38533170715877,0.29123111465325024,0.4088397790055249
test,P000,P000/seq0/000072,4,16,17.35649739856622,16.38533170715877,0.243537561089008,0.4489795918367347
test,P000,P000/seq0/000072,0,20,21.162600614721796,20.38533170715877,0.291004870470347,0.4228094575799722
test,P000,P000/seq0/000072,-5,25,26.788228320349504,25.38533170715877,0.32066849781039775,0.4005641748942172
test,P000,P000/seq0/000072,-12,32,33.35649739856622,32.38533170715877,0.24349963148939555,0.4489795918367347
test,P000,P000/seq0/000072,-20,40,41.728767862108555,40.38533170715877,0.30162139131346805,0.4180790960451977
test,P000,P000/seq0/000072,22,-2,-0.2021920120063072,-1.6146682928412304,0.2813971320786831,0.4246575342465753
test,P000,P000/seq0/000072,24,-4,-1.2739211244086448,-3.6146682928412304,0.2915420877883373,0.4
test,P000,P000/seq0/000072,26,-6,-3.8429725775180543,-5.61466829284123,0.3101458219084882,0.39660056657223797
test,P000,P000/seq0/000072,28,-8,-6.219292672713664,-7.61466829284123,0.3035454267518584,0.4197183098591549
test,P000,P000/seq0/000072,30,-10,-8.54901392458504,-9.61466829284123,0.3131709219229638,0.4179523141654979
test,P000,P000/seq0/000072,33,-13,-11.804171872050688,-12.61466829284123,0.3089385854032093,0.417462482946794
test,P000,P000/seq0/000072,36,-16,-14.626059636943637,-15.61466829284123,0.2441046181906838,0.45047489823609227
test,P000,P000/seq0/000072,40,-20,-17.54954224242107,-19.61466829284123,0.29626284895136146,0.40730337078651685
test,P000,P000/seq0/000072,45,-25,-23.471884435112088,-24.61466829284123,0.32439014777573555,0.41620111731843573
test,P000,P000/seq0/000072,52,-32,-30.586519154397962,-31.61466829284123,0.25729831453651775,0.4528301886792453
test,P000,P000/seq0/000072,60,-40,-38.291778267265784,-39.61466829284123,0.3030749948469822,0.43956043956043955
test,P000,P000/seq0/000108,19,2,0.23562660599479557,1.5927129742723594,0.3122486396496828,0.7296511627906976
test,P000,P000/seq0/000108,17,4,2.459268537827711,3.5927129742723594,0.313256133528588,0.7299058653149891
test,P000,P000/seq0/000108,15,6,4.196773695254933,5.592712974272359,0.31203639051971543,0.7341040462427746
test,P000,P000/seq0/000108,13,8,6.148153458724053,7.592712974272359,0.31004982834255956,0.7283236994219653
test,P000,P000/seq0/000108,11,10,8.068767218566506,9.59271297427236,0.32663887434144445,0.721216509775525
test,P000,P000/seq0/000108,8,13,10.935521835980751,12.59271297427236,0.3128729987001706,0.718320057929037
test,P000,P000/seq0/000108,5,16,13.831908146499444,15.59271297427236,0.33540403081516507,0.7194767441860465
test,P000,P000/seq0/000108,1,20,18.43038905816242,19.59271297427236,0.31330063892810345,0.7293777134587555
test,P000,P000/seq0/000108,-4,25,23.339481691759943,24.59271297427236,0.31058845538786645,0.7267483777937995
test,P000,P000/seq0/000108,-11,32,29.846924322928487,31.59271297427236,0.33438389667495416,0.72
test,P000,P000/seq0/000108,-19,40,38.18269472351156,39.59271297427236,0.3096201184297426,0.7293777134587555
test,P000,P000/seq0/000108,23,-2,-4.239511847284291,-2.4072870257276406,0.32875690926447065,0.7185454545454546
test,P000,P000/seq0/000108,25,-4,-5.91251117004515,-4.407287025727641,0.3220040735723451,0.7204066811909949
test,P000,P000/seq0/000108,27,-6,-7.897674182944314,-6.407287025727641,0.3198774899335486,0.7221418234442837
test,P000,P000/seq0/000108,29,-8,-9.755381692825722,-8.40728702572764,0.31150282492527787,0.7308248914616498
test,P000,P000/seq0/000108,31,-10,-11.781309159714283,-10.40728702572764,0.3120619193341318,0.7346348517715112
test,P000,P000/seq0/000108,34,-13,-14.552483142101096,-13.40728702572764,0.3130231543731668,0.7308248914616498
test,P000,P000/seq0/000108,37,-16,-18.087261875728927,-16.40728702572764,0.33171795564266116,0.7221006564551422
test,P000,P000/seq0/000108,41,-20,-21.88465971115923,-20.40728702572764,0.31472376202557856,0.7218591140159768
test,P000,P000/seq0/000108,46,-25,-26.71844787806981,-25.40728702572764,0.31249090157076004,0.7373737373737373
test,P000,P000/seq0/000108,53,-32,-34.42595573657863,-32.40728702572764,0.329127274506279,0.7255611875452571
test,P000,P000/seq0/000108,61,-40,-42.02834991334936,-40.40728702572764,0.30831251517704517,0.7345767575322812
test,P001,P001/seq0/000000,40,2,-16.681339382934368,2.138130568638843,0.3003874261348578,0.6313213703099511
test,P001,P001/seq0/000000,38,4,-13.761870801712234,4.138130568638843,0.3035781907209396,0.6455203116304953
test,P001,P001/seq0/000000,36,6,-11.873601415483705,6.138130568638843,0.31472876586214815,0.6510710259301015
test,P001,P001/seq0/000000,34,8,-10.701251382337745,8.138130568638843,0.3100127811796539,0.6461366181410975
test,P001,P001/seq0/000000,32,10,-8.697383313076926,10.138130568638843,0.3073934672066929,0.6471416502393692
test,P001,P001/seq0/000000,29,13,-4.792128514106423,13.138130568638843,0.3118909536851596,0.6549275773927862
test,P001,P001/seq0/000000,26,16,-0.7541997725233216,16.138130568638843,0.29488612531972674,0.645931685642877
test,P001,P001/seq0/000000,22,20,3.868245887323596,20.138130568638843,0.3082975007099619,0.6596531134489622
test,P001,P001/seq0/000000,17,25,6.763359388819666,25.138130568638843,0.3069013109375129,0.6480855855855856
test,P001,P001/seq0/000000,10,32,15.679059711180898,32.13813056863884,0.2936777789958179,0.6497206703910614
test,P001,P001/seq0/000000,2,40,22.684619796952987,40.13813056863884,0.4189345566564406,0.6581050228310502
test,P001,P001/seq0/000000,44,-2,-21.157238925453044,-1.861869431361157,0.3038820076650066,0.6392719249862107
test,P001,P001/seq0/000000,46,-4,-22.870901270671055,-3.861869431361157,0.3094378510645028,0.6488313151225007
test,P001,P001/seq0/000000,48,-6,-24.936508132756643,-5.861869431361157,0.3059366970393075,0.6435560525580095
test,P001,P001/seq0/000000,50,-8,-25.96220373713578,-7.861869431361157,0.30754162732099394,0.6527738665164742
test,P001,P001/seq0/000000,52,-10,-26.808600898996275,-9.861869431361157,0.3136755242426251,0.6607703281027104
test,P001,P001/seq0/000000,55,-13,-29.099360748634922,-12.861869431361157,0.30562686818998486,0.6552498596294217
test,P001,P001/seq0/000000,58,-16,-30.566525981225595,-15.861869431361157,0.30609965789497245,0.6689595872742906
test,P001,P001/seq0/000000,62,-20,-32.631302636216645,-19.861869431361157,0.333698945864093,0.709855695425238
test,P001,P001/seq0/000000,67,-25,-37.234848717952445,-24.861869431361157,0.3234743793991797,0.7134538768004903
test,P001,P001/seq0/000000,74,-32,-33.081315796735595,-31.861869431361157,0.2983190118430853,0.8273177636234961
test,P001,P001/seq0/000000,82,-40,-41.138708829669696,-39.86186943136116,0.30986471625239126,0.8455640744797371
test,P001,P001/seq0/000036,40,2,-3.539235871999267,1.9485533636729997,0.3882644170357242,0.7972789115646258
test,P001,P001/seq0/000036,38,4,-1.4830930665968936,3.9485533636729997,0.38932053946629974,0.7964841108857336
test,P001,P001/seq0/000036,36,6,0.39953975706536937,5.948553363673,0.39035065665792223,0.7944650691866352
test,P001,P001/seq0/000036,34,8,2.383474543942185,7.948553363673,0.39608784032397076,0.798641765704584
test,P001,P001/seq0/000036,32,10,4.440483299238267,9.948553363673,0.3966269524505333,0.799039780521262
test,P001,P001/seq0/000036,29,13,7.520087452208628,12.948553363673,0.3943813553295598,0.8001368925393566
test,P001,P001/seq0/000036,26,16,10.550619604795173,15.948553363673,0.3857739897749119,0.7962021024075958
test,P001,P001/seq0/000036,22,20,14.521714625710814,19.948553363673,0.3896352543723584,0.7958079783637593
test,P001,P001/seq0/000036,17,25,19.62712211264136,24.948553363673,0.39759784231752265,0.7974167233174712
test,P001,P001/seq0/000036,10,32,26.550619604795173,31.948553363673,0.3857307424940296,0.7962021024075958
test,P001,P001/seq0/000036,2,40,34.45756824527855,39.948553363673,0.47714997371698836,0.797558494404883
test,P001,P001/seq0/000036,44,-2,-7.545167951470717,-2.0514466363270003,0.3900141119805248,0.7990446946434664
test,P001,P001/seq0/000036,46,-4,-9.585102776597836,-4.051446636327,0.3966067136541665,0.8
test,P001,P001/seq0/000036,48,-6,-11.611883293021776,-6.051446636327,0.39730685149868605,0.7991789257612042
test,P001,P001/seq0/000036,50,-8,-13.712990428499864,-8.051446636327,0.3942647205312914,0.7993197278911565
test,P001,P001/seq0/000036,52,-10,-15.617142755680248,-10.051446636327,0.39075173907905747,0.7948717948717948
test,P001,P001/seq0/000036,55,-13,-18.556445275866736,-13.051446636327,0.389783286344064,0.7980997624703088
test,P001,P001/seq0/000036,58,-16,-21.55941009524537,-16.051446636327,0.3862990549030231,0.7978290366350068
test,P001,P001/seq0/000036,62,-20,-25.574188416680244,-20.051446636327,0.3986570651715914,0.8016500515641114
test,P001,P001/seq0/000036,67,-25,-30.130966049057122,-25.051446636327,0.39767103858255837,0.8046211348963642
test,P001,P001/seq0/000036,74,-32,-37.272337065048106,-32.051446636327,0.38922885715896377,0.8053187862257075
test,P001,P001/seq0/000036,82,-40,-44.56146594888645,-40.051446636327,0.3841743735857954,0.8258289703315881
test,P001,P001/seq0/000072,43,2,-1.514912398580691,1.5684945949553963,0.36066089835214543,0.8377649325626204
test,P001,P001/seq0/000072,41,4,0.6690596533135391,3.5684945949553963,0.36454734317301646,0.8386100386100386
test,P001,P001/seq0/000072,39,6,2.443655620114484,5.568494594955396,0.3624226347660933,0.8389105058365759
test,P001,P001/seq0/000072,37,8,3.7818928089197783,7.568494594955396,0.3608556411367754,0.8342498036135114
test,P001,P001/seq0/000072,35,10,5.987130231446528,9.568494594955396,0.3606337389134899,0.8375196232339089
test,P001,P001/seq0/000072,32,13,9.103017199512522,12.568494594955396,0.35577998470873323,0.8336579664978574
test,P001,P001/seq0/000072,29,16,11.846117700788568,15.568494594955396,0.3574028025311542,0.8320373250388803
test,P001,P001/seq0/000072,25,20,16.6622062594154,19.568494594955396,0.3646694898595243,0.8390582786568892
test,P001,P001/seq0/000072,20,25,20.992507642613432,24.568494594955396,0.36299158818922694,0.8371361132966169
test,P001,P001/seq0/000072,13,32,27.860756476655894,31.568494594955396,0.3580489650511872,0.8321678321678322
test,P001,P001/seq0/000072,5,40,35.79706564759687,39.568494594955396,0.4784702815658391,0.8354927365528072
test,P001,P001/seq0/000072,47,-2,-5.914055296102504,-2.4315054050445895,0.35436238245307483,0.8313908313908314
test,P001,P001/seq0/000072,49,-4,-8.06371673574779,-4.4315054050445895,0.35796110246417084,0.8342455043002346
test,P001,P001/seq0/000072,51,-6,-10.058165935800844,-6.4315054050445895,0.3608956864405671,0.8359497645211931
test,P001,P001/seq0/000072,53,-8,-12.19507857977527,-8.43150540504459,0.36268294055581407,0.8318931657501963
test,P001,P001/seq0/000072,55,-10,-13.55147737861546,-10.43150540504459,0.3613197320136259,0.8370283936211591
test,P001,P001/seq0/000072,58,-13,-16.511000777120472,-13.43150540504459,0.3643243924122378,0.8359706676958704
test,P001,P001/seq0/000072,61,-16,-20.092158368626144,-16.43150540504459,0.3520763851545692,0.8302325581395349
test,P001,P001/seq0/000072,65,-20,-24.076865524675128,-20.43150540504459,0.3566646620415574,0.8311180609851446
test,P001,P001/seq0/000072,70,-25,-29.103758960379963,-25.43150540504459,0.3610905147617669,0.8307210031347962
test,P001,P001/seq0/000072,77,-32,-35.62099524222563,-32.43150540504459,0.3581349036130775,0.8349514563106796
test,P001,P001/seq0/000072,85,-40,-43.444564659376425,-40.43150540504459,0.3392721038350126,0.8389662027833003
test,P001,P001/seq0/000108,43,2,-3.2707441086321296,1.8544803139699155,0.27693490088669304,0.8316151202749141
test,P001,P001/seq0/000108,41,4,-1.0134281699263852,3.8544803139699155,0.2860561276746151,0.837784371909001
test,P001,P001/seq0/000108,39,6,0.4344803139699138,5.8544803139699155,0.2835709369978393,0.82439744220364
test,P001,P001/seq0/000108,37,8,2.4977266651419683,7.8544803139699155,0.28427679201614026,0.8253339930727362
test,P001,P001/seq0/000108,35,10,4.361470491363264,9.854480313969916,0.2801462109557576,0.8219042920572275
test,P001,P001/seq0/000108,32,13,7.081642913205442,12.854480313969916,0.2788603258000355,0.8142292490118577
test,P001,P001/seq0/000108,29,16,10.357925290046467,15.854480313969916,0.28427200473818093,0.8259791769955379
test,P001,P001/seq0/000108,25,20,14.909146456939283,19.854480313969916,0.28848898301962805,0.8358061325420376
test,P001,P001/seq0/000108,20,25,19.439462309727816,24.854480313969916,0.286434848821228,0.8230044620723848
test,P001,P001/seq0/000108,13,32,26.36668453828186,31.854480313969916,0.2847102343682824,0.8251609707776126
test,P001,P001/seq0/000108,5,40,34.508902350369326,39.854480313969916,0.32876773979183976,0.8247524752475247
test,P001,P001/seq0/000108,47,-2,-8.060810033670407,-2.1455196860300703,0.27776040135515495,0.8131760078662733
test,P001,P001/seq0/000108,49,-4,-9.74926853182879,-4.14551968603007,0.27666222649310623,0.8175110673880964
test,P001,P001/seq0/000108,51,-6,-11.655265770279527,-6.14551968603007,0.2755601693416659,0.8218503937007874
test,P001,P001/seq0/000108,53,-8,-13.391483293934613,-8.14551968603007,0.2830427293914713,0.8272458045409674
test,P001,P001/seq0/000108,55,-10,-15.55016478501608,-10.14551968603007,0.28067480253701016,0.8235294117647058
test,P001,P001/seq0/000108,58,-13,-18.150997268876097,-13.14551968603007,0.27988648370759983,0.8364532019704434
test,P001,P001/seq0/000108,61,-16,-21.64021942238395,-16.14551968603007,0.283438020811977,0.8264299802761341
test,P001,P001/seq0/000108,65,-20,-25.701065351664766,-20.14551968603007,0.2731521757552568,0.8194308145240432
test,P001,P001/seq0/000108,70,-25,-30.492544351013578,-25.14551968603007,0.2807262703660376,0.8269419862340216
test,P001,P001/seq0/000108,77,-32,-37.32884925879705,-32.14551968603007,0.2801585748451184,0.8324270884824518
test,P001,P001/seq0/000108,85,-40,-44.7350440635461,-40.14551968603007,0.2749196469331741,0.8402190144350423
test,P012,P012/seq0/000000,29,2,0.07301685315961493,2.1141132197638086,0.3910665948648259,0.8614248479582971
test,P012,P012/seq0/000000,27,4,2.567177100183244,4.114113219763809,0.38859676561999157,0.868103448275862
test,P012,P012/seq0/000000,25,6,4.68490476218723,6.114113219763809,0.3883546714548565,0.8741976893453145
test,P012,P012/seq0/000000,23,8,6.595525784789828,8.114113219763809,0.38139379571181986,0.8828789531079607
test,P012,P012/seq0/000000,21,10,8.156479486658924,10.114113219763809,0.37904585867208146,0.8835571208452564
test,P012,P012/seq0/000000,18,13,10.386222345104088,13.114113219763809,0.37924613605224333,0.8736141906873615
test,P012,P012/seq0/000000,15,16,13.588025737417112,16.11411321976381,0.38347243584462576,0.8663431848257609
test,P012,P012/seq0/000000,11,20,18.556594913106338,20.11411321976381,0.3883396845898802,0.8681769147788565
test,P012,P012/seq0/000000,6,25,23.320879003000186,25.11411321976381,0.37886529659730983,0.8856266432953549
test,P012,P012/seq0/000000,-1,32,29.52113016334907,32.11411321976381,0.3858245460659279,0.865533230293663
test,P012,P012/seq0/000000,-9,40,38.572470744591925,40.11411321976381,0.4102096988107734,0.8820960698689956
test,P012,P012/seq0/000000,33,-2,-4.569558853716728,-1.8858867802361772,0.3835059939025944,0.866225165562914
test,P012,P012/seq0/000000,35,-4,-6.321183680453231,-3.885886780236177,0.3819341315944721,0.8767245215843347
test,P012,P012/seq0/000000,37,-6,-7.815125009907376,-5.885886780236177,0.3803349521946915,0.8823400043985045
test,P012,P012/seq0/000000,39,-8,-9.403489952295189,-7.885886780236177,0.38386040544099415,0.8817110432125709
test,P012,P012/seq0/000000,41,-10,-11.238712699090428,-9.885886780236177,0.3877236287283023,0.8735287823667879
test,P012,P012/seq0/000000,44,-13,-14.753953443647191,-12.885886780236177,0.38965561489023093,0.8615984405458089
test,P012,P012/seq0/000000,47,-16,-18.32423052999235,-15.885886780236177,0.3833032488168663,0.8654609616232907
test,P012,P012/seq0/000000,51,-20,-22.362568939650203,-19.885886780236177,0.38092795139721763,0.8753056234718827
test,P012,P012/seq0/000000,56,-25,-26.156945269857204,-24.885886780236177,0.38295329199724776,0.876210979547901
test,P012,P012/seq0/000000,63,-32,-34.18896023183905,-31.885886780236177,0.3841951117581981,0.8647577092511013
test,P012,P012/seq0/000000,71,-40,-41.08666991574276,-39.88588678023618,0.3865875143222903,0.8778043999128731
test,P012,P012/seq0/000036,22,2,-2.3262446536654693,1.742612324323673,0.4031694398640185,0.8324301792413505
test,P012,P012/seq0/000036,20,4,-0.1900089410602277,3.742612324323673,0.4034904020019258,0.8384822724445365
test,P012,P012/seq0/000036,18,6,1.957735103663822,5.742612324323673,0.4060275742535341,0.8389233954451346
test,P012,P012/seq0/000036,16,8,4.254029186150362,7.742612324323673,0.41387515165725125,0.8423236514522822
test,P012,P012/seq0/000036,14,10,5.843314900436084,9.742612324323673,0.4142630250620878,0.8376460767946577
test,P012,P012/seq0/000036,11,13,8.760300217046662,12.742612324323673,0.4121213026138394,0.8393717277486911
test,P012,P012/seq0/000036,8,16,11.950305652443873,15.742612324323673,0.4068306303510066,0.8370927318295739
test,P012,P012/seq0/000036,4,20,15.856591753507573,19.742612324323673,0.402595519866935,0.838789888106092
test,P012,P012/seq0/000036,-1,25,21.13274220657574,24.742612324323673,0.41521434632028376,0.8389108293494076
test,P012,P012/seq0/000036,-8,32,27.913145006391503,31.742612324323673,0.41159705306048233,0.8366067697450899
test,P012,P012/seq0/000036,-16,40,36.21846508666701,39.74261232432367,0.45975978839933995,0.8418430884184309
test,P012,P012/seq0/000036,26,-2,-6.324363516918794,-2.257387675676341,0.4121262362817202,0.8373266078184111
test,P012,P012/seq0/000036,28,-4,-8.164608063971514,-4.257387675676341,0.41221007965337203,0.8419732441471572
test,P012,P012/seq0/000036,30,-6,-10.182856358211808,-6.257387675676341,0.415385108439416,0.83729662077597
test,P012,P012/seq0/000036,32,-8,-11.806895183597533,-8.257387675676341,0.4140278991072271,0.8410788381742739
test,P012,P012/seq0/000036,34,-10,-14.174362848771608,-10.257387675676341,0.4049713126460417,0.8378546282874301
test,P012,P012/seq0/000036,37,-13,-17.231613312054947,-13.257387675676341,0.4013373108247233,0.835956917978459
test,P012,P012/seq0/000036,40,-16,-20.22226247798659,-16.25738767567634,0.4072026082685784,0.835384936365533
test,P012,P012/seq0/000036,44,-20,-24.29628719253057,-20.25738767567634,0.411572320520574,0.8400167084377611
test,P012,P012/seq0/000036,49,-25,-28.915293996911373,-25.25738767567634,0.41127694697933587,0.8380834365964478
test,P012,P012/seq0/000036,56,-32,-36.39238131734277,-32.25738767567634,0.4053948131869608,0.8345802161263508
test,P012,P012/seq0/000036,64,-40,-43.916448609011496,-40.25738767567634,0.41764890296189605,0.8400498545907769
test,P012,P012/seq0/000072,25,2,6.145244454182929,1.7490254333357598,0.3867265764729584,0.8395112859805343
test,P012,P012/seq0/000072,23,4,7.979391753239554,3.7490254333357598,0.3894047062726032,0.8357709987463435
test,P012,P012/seq0/000072,21,6,9.757822109886547,5.74902543333576,0.3849689754557611,0.8419280151547043
test,P012,P012/seq0/000072,19,8,11.103920112392927,7.74902543333576,0.38261581950844253,0.8480985765880603
test,P012,P012/seq0/000072,17,10,12.717255827713089,9.74902543333576,0.3818203622266791,0.8565365025466893
test,P012,P012/seq0/000072,14,13,16.612817340013976,12.74902543333576,0.38172633760257096,0.8588088296543107
test,P012,P012/seq0/000072,11,16,20.33074151491749,15.74902543333576,0.385135351832071,0.8435627195701592
test,P012,P012/seq0/000072,7,20,23.980767062428427,19.74902543333576,0.38955126293562725,0.8359456635318704
test,P012,P012/seq0/000072,2,25,27.84197303420983,24.74902543333576,0.3815064791146142,0.8542286442838929
test,P012,P012/seq0/000072,-5,32,36.29777009676677,31.74902543333576,0.4056268265963791,0.843737081438611
test,P012,P012/seq0/000072,-13,40,43.09176659325193,39.74902543333576,0.44259476926199737,0.8482787930301743
test,P012,P012/seq0/000072,29,-2,1.9311329043499796,-2.2509745666642402,0.3787272772305889,0.8563752841496177
test,P012,P012/seq0/000072,31,-4,-0.7499949587188439,-4.25097456666424,0.3818737995312987,0.8530090165653177
test,P012,P012/seq0/000072,33,-6,-3.257875575754383,-6.25097456666424,0.38029301629401363,0.8559322033898306
test,P012,P012/seq0/000072,35,-8,-4.913903005267599,-8.25097456666424,0.38229482748032073,0.8478030142220335
test,P012,P012/seq0/000072,37,-10,-6.222180537836238,-10.25097456666424,0.3853215298043975,0.8406893652795292
test,P012,P012/seq0/000072,40,-13,-8.98623828140785,-13.25097456666424,0.3897599211360553,0.8387096774193549
test,P012,P012/seq0/000072,43,-16,-11.635647153135352,-16.25097456666424,0.38465569174534603,0.8414533443435177
test,P012,P012/seq0/000072,47,-20,-16.742995815279926,-20.25097456666424,0.38215146280108037,0.8521229868228404
test,P012,P012/seq0/000072,52,-25,-21.632163428911184,-25.25097456666424,0.38094760709994363,0.8476653285442637
test,P012,P012/seq0/000072,59,-32,-27.594729905515834,-32.25097456666424,0.3823782000641363,0.8408482602429483
test,P012,P012/seq0/000072,67,-40,-36.938499549481804,-40.25097456666424,0.38103400876678667,0.8457627118644068
test,P012,P012/seq0/000108,27,2,5.541384834195384,1.999038204124119,0.399913563894085,0.8829742289818335
test,P012,P012/seq0/000108,25,4,7.31039698604468,3.999038204124119,0.4005039533862781,0.8849894291754757
test,P012,P012/seq0/000108,23,6,9.093904910593224,5.999038204124119,0.39599867379800996,0.8916382252559727
test,P012,P012/seq0/000108,21,8,10.557220027704375,7.999038204124119,0.39200807595443316,0.9058798190824898
test,P012,P012/seq0/000108,19,10,12.327141671607478,9.999038204124119,0.3964589575276458,0.9062634989200864
test,P012,P012/seq0/000108,16,13,15.267054573595345,12.999038204124119,0.39610926334006125,0.9005572224603515
test,P012,P012/seq0/000108,13,16,19.297105562283562,15.999038204124119,0.3947485903727928,0.8912489379779099
test,P012,P012/seq0/000108,9,20,23.323782961786492,19.99903820412412,0.40076549399399813,0.8849407783417935
test,P012,P012/seq0/000108,4,25,27.39859719299382,24.99903820412412,0.3940929897803045,0.9074433656957929
test,P012,P012/seq0/000108,-3,32,35.26701619913739,31.99903820412412,0.3992365830356617,0.890777730556736
test,P012,P012/seq0/000108,-11,40,42.523958488929495,39.99903820412412,0.4434350548702316,0.9062702003878474
test,P012,P012/seq0/000108,31,-2,0.7942282444971056,-2.0009617958758668,0.3938586686713437,0.896037494674052
test,P012,P012/seq0/000108,33,-4,-1.683795901547711,-4.000961795875867,0.3944461567955316,0.901481004507405
