sample_id,image_path,mask_path,status,quality,uncertain_boundary,reviewed,area_px,area_frac,solidity,contrast,depth,confidence,dark_percentile,candidate_rank,num_candidates,notes
S0010_P011_frame_005,../annotation_audit/images/S0010_P011_frame_005.png,masks/S0010_P011_frame_005.png,drop,poor,1,1,31416,0.0785,0.665,11.5,0.614,0.327,22.0,0,2,
S0011_P011_frame_070,../annotation_audit/images/S0011_P011_frame_070.png,masks/S0011_P011_frame_070.png,drop,moderate,1,1,38845,0.0943,0.666,13.8,0.548,0.399,22.0,0,3,
S0012_P011_frame_151,../annotation_audit/images/S0012_P011_frame_151.png,masks/S0012_P011_frame_151.png,drop,moderate,1,1,44152,0.1086,0.711,13.9,0.53,0.431,22.0,0,3,
S0013_P011_frame_179,../annotation_audit/images/S0013_P011_frame_179.png,masks/S0013_P011_frame_179.png,drop,moderate,1,1,46417,0.1138,0.666,13.2,0.545,0.42,22.0,0,3,
S0014_P011_frame_183,../annotation_audit/images/S0014_P011_frame_183.png,masks/S0014_P011_frame_183.png,drop,moderate,1,1,45186,0.1109,0.73,14.3,0.527,0.436,22.0,0,3,
S0015_P012_frame_000,../annotation_audit/images/S0015_P012_frame_000.png,masks/S0015_P012_frame_000.png,drop,moderate,1,1,28899,0.1295,0.794,11.1,0.561,0.465,28.0,0,3,
S0016_P012_frame_004,../annotation_audit/images/S0016_P012_frame_004.png,masks/S0016_P012_frame_004.png,drop,moderate,1,1,23762,0.1062,0.738,9.9,0.552,0.382,22.0,0,3,
S0017_P012_frame_006,../annotation_audit/images/S0017_P012_frame_006.png,masks/S0017_P012_frame_006.png,drop,moderate,1,1,6093,0.0272,0.833,17.6,0.369,0.447,22.0,0,3,
S0018_P012_frame_019,../annotation_audit/images/S0018_P012_frame_019.png,masks/S0018_P012_frame_019.png,drop,moderate,1,1,22946,0.1024,0.883,8.0,0.572,0.562,22.0,0,4,
S0019_P012_frame_038,../annotation_audit/images/S0019_P012_frame_038.png,masks/S0019_P012_frame_038.png,drop,moderate,1,1,21500,0.0961,0.897,9.2,0.567,0.586,22.0,0,4,
S0020_P019_frame_080,../annotation_audit/images/S0020_P019_frame_080.png,masks/S0020_P019_frame_080.png,drop,moderate,1,1,57153,0.1307,0.721,19.2,0.606,0.466,22.0,0,2,
S0021_P019_frame_084,../annotation_audit/images/S0021_P019_frame_084.png,masks/S0021_P019_frame_084.png,drop,moderate,1,1,58899,0.134,0.738,21.1,0.624,0.48,22.0,0,3,
S0022_P019_frame_096,../annotation_audit/images/S0022_P019_frame_096.png,masks/S0022_P019_frame_096.png,drop,moderate,1,1,61062,0.1399,0.633,23.6,0.624,0.505,22.0,0,3,
S0023_P019_frame_100,../annotation_audit/images/S0023_P019_frame_100.png,masks/S0023_P019_frame_100.png,drop,moderate,1,1,51968,0.1212,0.668,21.6,0.614,0.487,22.0,0,3,
S0024_P019_frame_110,../annotation_audit/images/S0024_P019_frame_110.png,masks/S0024_P019_frame_110.png,keep,moderate,1,1,64442,0.149,0.708,20.4,0.648,0.467,22.0,0,3,
S0025_P020_frame_000,../annotation_audit/images/S0025_P020_frame_000.png,masks/S0025_P020_frame_000.png,keep,good,0,1,71647,0.1625,0.65,44.5,0.581,0.63,22.0,0,3,
S0026_P020_frame_003,../annotation_audit/images/S0026_P020_frame_003.png,masks/S0026_P020_frame_003.png,keep,good,0,1,58694,0.1359,0.802,27.7,0.605,0.634,22.0,0,4,
S0027_P020_frame_018,../annotation_audit/images/S0027_P020_frame_018.png,masks/S0027_P020_frame_018.png,keep,good,0,1,64371,0.1498,0.555,43.1,0.571,0.632,22.0,0,3,
S0028_P020_frame_019,../annotation_audit/images/S0028_P020_frame_019.png,masks/S0028_P020_frame_019.png,keep,good,0,1,62713,0.1462,0.558,43.2,0.558,0.635,22.0,0,3,
S0029_P020_frame_086,../annotation_audit/images/S0029_P020_frame_086.png,masks/S0029_P020_frame_086.png,keep,good,0,1,66558,0.1542,0.61,44.3,0.567,0.633,22.0,0,3,
S0030_P021_frame_000,../annotation_audit/images/S0030_P021_frame_000.png,masks/S0030_P021_frame_000.png,keep,moderate,1,1,49301,0.1168,0.671,28.2,0.578,0.562,22.0,0,5,
S0031_P021_frame_032,../annotation_audit/images/S0031_P021_frame_032.png,masks/S0031_P021_frame_032.png,drop,moderate,1,1,70957,0.1683,0.546,19.5,0.59,0.472,22.0,0,3,
S0032_P021_frame_046,../annotation_audit/images/S0032_P021_frame_046.png,masks/S0032_P021_frame_046.png,keep,moderate,1,1,58198,0.1378,0.538,23.7,0.566,0.52,22.0,0,4,
S0033_P021_frame_098,../annotation_audit/images/S0033_P021_frame_098.png,masks/S0033_P021_frame_098.png,keep,moderate,1,1,69182,0.1638,0.538,20.4,0.588,0.483,22.0,0,4,
S0034_P021_frame_117,../annotation_audit/images/S0034_P021_frame_117.png,masks/S0034_P021_frame_117.png,keep,moderate,1,1,59576,0.1419,0.821,11.1,0.614,0.495,22.0,0,3,
S0035_P040_frame_000,../annotation_audit/images/S0035_P040_frame_000.png,masks/S0035_P040_frame_000.png,keep,good,0,1,8338,0.0188,0.911,74.6,0.414,0.728,22.0,0,6,
S0036_P040_frame_040,../annotation_audit/images/S0036_P040_frame_040.png,masks/S0036_P040_frame_040.png,keep,good,0,1,8902,0.0201,0.875,65.2,0.403,0.673,22.0,0,7,
S0037_P040_frame_050,../annotation_audit/images/S0037_P040_frame_050.png,masks/S0037_P040_frame_050.png,keep,good,0,1,16443,0.0371,0.913,81.9,0.388,0.768,22.0,0,5,
S0038_P040_frame_076,../annotation_audit/images/S0038_P040_frame_076.png,masks/S0038_P040_frame_076.png,keep,good,0,1,20705,0.0468,0.935,95.7,0.367,0.822,22.0,0,5,
S0039_P040_frame_086,../annotation_audit/images/S0039_P040_frame_086.png,masks/S0039_P040_frame_086.png,keep,good,0,1,15337,0.0347,0.909,80.2,0.384,0.756,22.0,0,5,
S0040_P041_frame_000,../annotation_audit/images/S0040_P041_frame_000.png,masks/S0040_P041_frame_000.png,keep,good,0,1,86620,0.1957,0.588,38.9,0.474,0.65,22.0,0,2,
S0041_P041_frame_062,../annotation_audit/images/S0041_P041_frame_062.png,masks/S0041_P041_frame_062.png,keep,good,0,1,86548,0.1956,0.628,45.4,0.464,0.65,22.0,0,2,
S0042_P041_frame_073,../annotation_audit/images/S0042_P041_frame_073.png,masks/S0042_P041_frame_073.png,keep,good,0,1,88179,0.1995,0.488,41.7,0.466,0.65,22.0,0,1,
S0043_P041_frame_088,../annotation_audit/images/S0043_P041_frame_088.png,masks/S0043_P041_frame_088.png,keep,good,0,1,91600,0.207,0.494,45.3,0.457,0.65,22.0,0,1,
S0044_P041_frame_104,../annotation_audit/images/S0044_P041_frame_104.png,masks/S0044_P041_frame_104.png,keep,good,0,1,93538,0.2113,0.496,43.7,0.458,0.65,22.0,0,1,
S0045_P043_frame_000,../annotation_audit/images/S0045_P043_frame_000.png,masks/S0045_P043_frame_000.png,drop,moderate,1,1,65502,0.1054,0.753,21.9,0.8,0.444,22.0,0,2,
S0046_P043_frame_005,../annotation_audit/images/S0046_P043_frame_005.png,masks/S0046_P043_frame_005.png,drop,moderate,1,1,75662,0.1214,0.738,18.5,0.796,0.41,22.0,0,2,
S0047_P043_frame_038,../annotation_audit/images/S0047_P043_frame_038.png,masks/S0047_P043_frame_038.png,drop,moderate,1,1,91917,0.1398,0.734,16.3,0.805,0.387,22.0,0,2,
S0048_P043_frame_065,../annotation_audit/images/S0048_P043_frame_065.png,masks/S0048_P043_frame_065.png,drop,moderate,1,1,80328,0.1237,0.826,18.0,0.813,0.523,22.0,0,3,
S0049_P043_frame_078,../annotation_audit/images/S0049_P043_frame_078.png,masks/S0049_P043_frame_078.png,drop,moderate,1,1,78048,0.1212,0.678,16.0,0.816,0.381,22.0,0,2,
S0050_P085_frame_000,../annotation_audit/images/S0050_P085_frame_000.png,masks/S0050_P085_frame_000.png,keep,good,0,1,17334,0.0392,0.909,84.5,0.35,0.766,22.0,0,7,
S0051_P085_frame_005,../annotation_audit/images/S0051_P085_frame_005.png,masks/S0051_P085_frame_005.png,keep,good,0,1,17199,0.0389,0.918,83.9,0.349,0.779,22.0,0,7,
S0052_P085_frame_024,../annotation_audit/images/S0052_P085_frame_024.png,masks/S0052_P085_frame_024.png,keep,good,0,1,13867,0.0315,0.895,78.1,0.338,0.727,22.0,0,9,
S0053_P085_frame_036,../annotation_audit/images/S0053_P085_frame_036.png,masks/S0053_P085_frame_036.png,keep,moderate,1,1,14014,0.0319,0.824,73.4,0.345,0.615,22.0,0,9,
S0054_P085_frame_058,../annotation_audit/images/S0054_P085_frame_058.png,masks/S0054_P085_frame_058.png,keep,moderate,1,1,20982,0.0474,0.596,72.6,0.372,0.529,22.0,0,5,
S0055_P089_frame_007,../annotation_audit/images/S0055_P089_frame_007.png,masks/S0055_P089_frame_007.png,keep,good,0,1,7355,0.0174,0.924,61.8,0.415,0.746,22.0,0,5,
S0056_P089_frame_028,../annotation_audit/images/S0056_P089_frame_028.png,masks/S0056_P089_frame_028.png,keep,good,0,1,7585,0.018,0.937,61.6,0.407,0.768,22.0,0,4,
S0057_P089_frame_048,../annotation_audit/images/S0057_P089_frame_048.png,masks/S0057_P089_frame_048.png,keep,good,0,1,8322,0.0195,0.951,68.5,0.373,0.792,22.0,0,4,
S0058_P089_frame_057,../annotation_audit/images/S0058_P089_frame_057.png,masks/S0058_P089_frame_057.png,keep,good,0,1,8295,0.0194,0.938,69.3,0.368,0.772,22.0,0,3,
S0059_P089_frame_060,../annotation_audit/images/S0059_P089_frame_060.png,masks/S0059_P089_frame_060.png,keep,good,0,1,8190,0.0191,0.942,69.0,0.369,0.777,22.0,0,3,
S0060_P095_frame_000,../annotation_audit/images/S0060_P095_frame_000.png,masks/S0060_P095_frame_000.png,keep,good,0,1,57479,0.1299,0.86,20.0,0.59,0.652,22.0,0,3,
S0061_P095_frame_041,../annotation_audit/images/S0061_P095_frame_041.png,masks/S0061_P095_frame_041.png,keep,moderate,1,1,53957,0.1219,0.837,18.7,0.585,0.605,22.0,0,2,
S0062_P095_frame_051,../annotation_audit/images/S0062_P095_frame_051.png,masks/S0062_P095_frame_051.png,keep,moderate,1,1,36607,0.0828,0.767,22.3,0.568,0.483,22.0,0,2,
S0063_P095_frame_072,../annotation_audit/images/S0063_P095_frame_072.png,masks/S0063_P095_frame_072.png,keep,moderate,1,1,25886,0.059,0.798,20.3,0.587,0.458,22.0,0,5,
S0064_P095_frame_084,../annotation_audit/images/S0064_P095_frame_084.png,masks/S0064_P095_frame_084.png,keep,moderate,1,1,36723,0.083,0.775,28.1,0.572,0.552,22.0,0,3,
S0065_P097_frame_004,../annotation_audit/images/S0065_P097_frame_004.png,masks/S0065_P097_frame_004.png,drop,good,0,1,4494,0.0104,0.939,46.3,0.266,0.756,22.0,0,2,
S0066_P097_frame_016,../annotation_audit/images/S0066_P097_frame_016.png,masks/S0066_P097_frame_016.png,drop,good,0,1,4291,0.01,0.937,46.5,0.271,0.752,22.0,0,2,
S0067_P097_frame_029,../annotation_audit/images/S0067_P097_frame_029.png,masks/S0067_P097_frame_029.png,keep,good,0,1,14887,0.0343,0.952,55.6,0.487,0.824,22.0,0,5,
S0068_P097_frame_051,../annotation_audit/images/S0068_P097_frame_051.png,masks/S0068_P097_frame_051.png,keep,good,0,1,16397,0.0377,0.982,73.3,0.475,0.859,22.0,0,3,
S0069_P097_frame_061,../annotation_audit/images/S0069_P097_frame_061.png,masks/S0069_P097_frame_061.png,keep,good,0,1,14923,0.0345,0.978,63.3,0.485,0.853,22.0,0,5,
S0070_P108_frame_037,../annotation_audit/images/S0070_P108_frame_037.png,masks/S0070_P108_frame_037.png,drop,moderate,1,1,76157,0.1734,0.566,14.1,0.69,0.393,22.0,0,2,
S0071_P108_frame_039,../annotation_audit/images/S0071_P108_frame_039.png,masks/S0071_P108_frame_039.png,drop,moderate,1,1,79181,0.1801,0.565,14.9,0.679,0.404,22.0,0,2,
S0072_P108_frame_060,../annotation_audit/images/S0072_P108_frame_060.png,masks/S0072_P108_frame_060.png,drop,moderate,1,1,83966,0.1898,0.805,17.5,0.655,0.525,25.0,0,3,
S0073_P108_frame_099,../annotation_audit/images/S0073_P108_frame_099.png,masks/S0073_P108_frame_099.png,drop,moderate,1,1,79087,0.1795,0.549,18.7,0.704,0.436,22.0,0,2,
S0074_P108_frame_107,../annotation_audit/images/S0074_P108_frame_107.png,masks/S0074_P108_frame_107.png,drop,moderate,1,1,76230,0.1731,0.57,16.7,0.708,0.415,22.0,0,3,
S0075_P109_frame_000,../annotation_audit/images/S0075_P109_frame_000.png,masks/S0075_P109_frame_000.png,keep,good,0,1,83959,0.1865,0.905,17.7,0.634,0.69,22.0,0,2,
S0076_P109_frame_010,../annotation_audit/images/S0076_P109_frame_010.png,masks/S0076_P109_frame_010.png,keep,good,0,1,81191,0.1804,0.877,17.4,0.628,0.645,22.0,0,4,
S0077_P109_frame_052,../annotation_audit/images/S0077_P109_frame_052.png,masks/S0077_P109_frame_052.png,keep,good,0,1,83279,0.185,0.895,16.1,0.63,0.659,22.0,0,1,
S0078_P109_frame_120,../annotation_audit/images/S0078_P109_frame_120.png,masks/S0078_P109_frame_120.png,keep,moderate,1,1,76122,0.1691,0.841,16.1,0.616,0.577,22.0,0,4,
S0079_P109_frame_140,../annotation_audit/images/S0079_P109_frame_140.png,masks/S0079_P109_frame_140.png,keep,good,0,1,79606,0.1769,0.872,16.4,0.629,0.627,22.0,0,3,
